Склад,Коэффициент,Доставка база (₽),Доставка литр (₽),Хранение база (₽),Хранение литр (₽),Дата
Актобе,0.0000,66.70,20.30,0.1000,0.1000,2025-10-23
Астана Карагандинское шоссе,0.0000,66.70,20.30,0.1000,0.1000,2025-10-23
Атакент,0.0000,62.10,18.90,0.0800,0.0800,2025-10-23
Белая дача,0.0000,89.70,27.30,0.1300,0.1300,2025-10-23
Белые Столбы,0.0000,128.80,39.20,0.2000,0.2000,2025-10-23
Владимир,0.0000,64.40,19.60,0.1000,0.1000,2025-10-23
Волгоград,0.0000,50.60,15.40,0.0800,0.0800,2025-10-23
Воронеж,0.0000,73.60,22.40,0.1100,0.1100,2025-10-23
Голицыно СГТ,0.0000,34.50,10.50,0.0500,0.0500,2025-10-23
Екатеринбург - Испытателей 14г,0.0000,101.20,30.80,0.1300,0.1300,2025-10-23
Екатеринбург - Перспективный 12,0.0000,103.50,31.50,0.1600,0.1600,2025-10-23
Казань,0.0000,101.20,30.80,0.1300,0.1300,2025-10-23
Коледино,0.0000,89.70,27.30,0.1000,0.1000,2025-10-23
Котовск,0.0000,69.00,21.00,0.1300,0.1300,2025-10-23
Краснодар,0.0000,73.60,22.40,0.1000,0.1000,2025-10-23
Кузнецк СГТ,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23
Маркетплейс: Армения СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Беларусь,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Беларусь СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Дальневосточный федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Дальневосточный федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Казахстан,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Казахстан СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Кыргызстан,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Кыргызстан СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Приволжский федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Приволжский федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Северо-Западный федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Северо-Западный федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Северо-Кавказский федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Северо-Кавказский федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Сибирский федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Сибирский федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Узбекистан,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Узбекистан СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Уральский федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Уральский федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Центральный федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Центральный федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Южный федеральный округ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Маркетплейс: Южный федеральный округ СГТ,0.0000,0.00,0.00,0.0000,0.0000,2025-10-23
Невинномысск,0.0000,59.80,18.20,0.0900,0.0900,2025-10-23
Новосибирск,0.0000,204.70,62.30,0.2900,0.2900,2025-10-23
Обухово,0.0000,78.20,23.80,0.1200,0.1200,2025-10-23
Обухово СГТ,0.0000,34.50,10.50,0.0500,0.0500,2025-10-23
Пенза,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23
Подольск,0.0000,92.00,28.00,0.1200,0.1200,2025-10-23
Радумля СГТ,0.0000,43.70,13.30,0.0700,0.0700,2025-10-23
Рязань (Тюшевское),0.0000,55.20,16.80,0.1000,0.1000,2025-10-23
СПБ Шушары,0.0000,101.20,30.80,0.1500,0.1500,2025-10-23
СЦ Ереван,0.0000,96.60,29.40,0.1500,0.1500,2025-10-23
СЦ Тбилиси 3 Бонд,0.0000,59.80,18.20,0.0000,0.0000,2025-10-23
Сабурово,0.0000,59.80,18.20,0.0900,0.0900,2025-10-23
Самара (Новосемейкино),0.0000,92.00,28.00,0.1400,0.1400,2025-10-23
Санкт-Петербург СГТ,0.0000,48.30,14.70,0.0700,0.0700,2025-10-23
Санкт-Петербург Уткина Заводь,0.0000,124.20,37.80,0.1400,0.1400,2025-10-23
Сарапул,0.0000,96.60,29.40,0.1500,0.1500,2025-10-23
Софрино СГТ,0.0000,43.70,13.30,0.0700,0.0700,2025-10-23
Софьино СГТ,0.0000,43.70,13.30,0.0700,0.0700,2025-10-23
Ташкент,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23
Тула,0.0000,69.00,21.00,0.0800,0.0800,2025-10-23
Хабаровск,0.0000,101.20,30.80,0.1400,0.1400,2025-10-23
Цифровой склад,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23
Челябинск СГТ,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23
Чехов 1,0.0000,94.30,28.70,0.1100,0.1100,2025-10-23
Чехов 2,0.0000,94.30,28.70,0.1100,0.1100,2025-10-23
Щербинка,0.0000,92.00,28.00,0.1400,0.1400,2025-10-23
Электросталь,0.0000,73.60,22.40,0.0800,0.0800,2025-10-23
Ярославль СГТ,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23
